Salaires , Age
60;7164
42;2911
25;4010
32;414
41;2970
17;8407
3;1275
50;2332
28;7452
27;7314
62;2985
18;471
10;3753
48;658
20;5398
21;1861
52;743
60;6622
16;3282
7;8598
8;6392
48;84
58;7983
24;5945
42;3172
25;7582
21;7003
32;4273
56;3930
16;2536
62;4572
6;6933
57;2779
38;6654
46;4513
30;3386
59;3902
53;628
49;3823
57;719
37;3341
17;4466
12;1396
31;685
15;7505
47;5676
31;2570
58;6355
53;7313
8;6665
33;7956
57;5856
57;481
46;8084
25;5210
1;334
20;7990
22;4825
56;8541
0;2780
17;253
31;4431
19;7916
15;5614
28;949
6;4457
39;1395
14;1942
25;1361
18;8124
20;3882
21;8055
5;330
30;314
52;6162
49;2171
61;1690
24;7239
14;5752
0;7073
30;3265
37;6104
58;702
55;545
27;508
6;4445
7;3495
59;2256
46;8174
61;7659
12;296
27;4603
1;3925
52;293
60;712
40;4685
59;7966
31;4500
0;5037
44;3223
27;4461
18;5820
11;7595
59;3746
0;6036
24;4409
62;6247
27;6071
52;1490
46;3582
60;4484
17;444
34;7235
6;6906
37;4660
15;5632
19;6971
60;941
63;7881
33;6847
22;548
63;4881
54;4260
42;2883
49;910
19;1248
36;8112
43;2510
46;5826
23;225
3;1278
44;8450
13;7902
15;5611
62;3955
53;1179
17;1039
0;4875
40;7866
1;4566
35;5546
49;8829
32;5783
15;558
55;2651
28;860
50;910
14;6645
38;738
1;8738
55;5566
18;8495
24;4342
34;4298
28;162
37;610
63;6877
56;5907
24;3355
52;2917
60;6614
0;6712
31;1486
13;6041
54;4346
14;8464
37;4027
61;5524
63;7166
22;5340
30;557
56;1254
48;4455
25;5646
56;7171
42;6424
25;2131
49;7060
20;6357
37;411
14;1045
46;509
45;6242
18;4259
17;5988
24;8470
34;8353
42;5418
41;5602
24;7538
56;6511
7;1367
35;2309
54;1376
6;5854
12;2572
38;7932
63;3244
26;2295
47;462
7;6711
63;1786
2;5590
53;7060
51;381
28;6929
5;7533
26;7052
12;7300
14;4822
12;2541
24;418
16;1117
13;8273
4;4555
0;8408
27;4046
53;1576
60;5826
52;8802
20;5300
49;3464
53;7451
14;50
40;5818
13;390
38;4525
25;2542
36;8810
14;3363
6;2540
63;8341
16;6264
56;6137
2;1989
10;2763
63;2201
7;4006
16;2398
25;6570
63;6435
55;2316
38;166
5;8803
47;3918
55;959
51;7095
26;6884
13;2959
38;807
14;4652
32;3166
24;8176
40;6679
39;6736
25;7411
62;5232
26;3836
43;7633
33;8179
29;1099
12;5562
14;1436
10;1249
53;4886
32;855
4;6087
52;1655
59;5069
36;6075
8;8142
56;7049
52;1036
50;627
2;7964
51;8365
37;6721
2;4493
3;8202
18;3000
11;122
63;3182
28;8045
4;1085
36;6
57;6296
48;5340
0;4292
51;407
62;5377
19;6377
47;3662
44;4178
31;4308
35;1076
48;1223
25;87
12;2577
26;2005
62;7621
11;7808
50;1758
43;8320
60;2471
57;7918
37;4544
54;3776
55;1303
50;5711
52;1614
30;3610
50;3048
35;1890
28;5791
10;4257
24;3406
45;4239
57;1420
42;5489
4;1307
57;6175
11;4152
20;7515
14;3874
45;6091
6;8424
14;5923
3;4673
19;4944
42;3364
14;7852
41;2147
6;5827
45;2988
2;120
18;1608
53;1235
58;8867
51;5759
36;5676
55;2801
26;3016
44;6303
18;4144
62;6199
14;1564
45;7185
41;5162
50;4829
34;1638
43;4830
11;540
53;4371
52;1108
11;7791
11;7474
35;7082
46;6537
32;4180
0;6937
29;5141
58;3187
54;1750
48;4750
5;4063
38;2113
37;7448
13;8633
6;8021
30;4746
6;3426
16;694
38;5783
25;5006
0;2304
27;2093
30;5219
20;3962
39;1318
33;3719
10;4786
52;3042
24;1725
42;3962
37;4894
17;6439
8;6173
57;5601
45;3062
19;5959
32;4794
33;2359
36;7230
17;124
32;1393
19;2136
56;5444
41;2430
29;7228
55;5956
39;1259
6;6042
36;6596
37;7728
63;4002
34;2798
24;6589
26;1479
45;8030
46;2691
29;4597
32;241
8;6857
37;2075
5;2770
58;6285
16;2187
43;4766
26;529
19;1693
13;6884
55;2584
21;5476
51;4392
26;117
48;598
6;3420
57;4179
14;1586
53;6446
8;336
50;1580
44;8779
11;6710
2;7586
6;4450
24;8553
39;6026
41;5518
42;1281
30;3222
57;1750
52;9
29;3389
41;5330
33;2701
43;5836
2;7827
12;5146
37;2635
57;4324
30;6844
57;662
32;6420
29;7454
8;5627
28;7781
42;5125
25;5119
26;4228
51;1306
7;6357
23;4655
43;7490
16;1876
21;2715
5;7913
62;1394
1;5702
44;3082
1;8305
36;515
25;3820
27;6295
31;2899
35;8536
22;6760
24;8000
37;3137
50;2915
16;6951
41;7036
55;3239
44;1775
3;6003
53;7034
14;5746
49;2346
45;1810
25;5198
26;1651
1;3940
20;7962
42;3456
21;5855
20;2459
15;8654
15;7263
62;2732
4;5041
44;1534
30;7781
49;2796
34;6098
61;5438
1;2831
3;5910
19;5909
56;8428
31;5089
4;4324
38;6102
21;1622
41;6157
4;3017
32;7835
13;5165
22;3537
50;8358
11;3497
58;3060
32;191
62;3308
29;4734
59;7926
39;3069
4;8298
60;3883
14;7095
56;5965
50;3093
15;939
45;6530
1;1451
11;2487
27;7338
43;52
46;3933
38;6251
59;8766
20;5715
30;5667
53;8405
5;517
13;2803
52;5754
4;8336
12;25
16;6848
25;1177
11;4309
27;6304
52;7551
9;7587
42;1587
22;1476
55;5766
55;2812
4;8071
43;8341
26;7256
55;3222
61;7024
56;1333
6;4557
43;1844
52;6760
0;6053
43;902
23;6182
45;8483
63;3680
0;1710
17;8684
43;4583
37;4137
35;2469
21;5451
49;3902
26;251
46;7397
8;1271
39;5083
61;789
50;3576
33;4234
56;8693
8;5079
20;8273
13;869
15;3838
19;5581
50;2188
6;8538
53;8444
41;6031
3;4200
17;780
63;7842
51;4408
22;7316
19;3738
46;2836
14;965
36;1237
23;840
40;2030
5;4781
15;3057
3;3965
18;75
9;3696
24;7643
56;2257
7;8197
28;3228
47;8839
53;3325
18;1366
56;5043
40;1793
44;6508
3;1025
18;3627
32;1179
44;7252
47;8289
38;1092
40;3302
31;1908
26;8894
14;3885
22;7366
